Date,Open,High,Low,Close,Volume,days since 2020_Feb_03
2021-02-03,112.01,113.4,85.25,92.41,42698512,366
2021-02-02,140.76,158.0,74.22,90.0,78183070,365
2021-02-01,316.56,322.0,212.0,225.0,37382152,364
2021-01-29,379.71,413.98,250.0,325.0,50566059,361
2021-01-28,265.0,483.0,112.25,193.6,58815809,360
2021-01-27,354.83,380.0,249.0,347.51,93396672,359
2021-01-26,88.56,150.0,80.2,147.98,178588000,358
2021-01-25,96.73,159.18,61.13,76.79,177874000,357
2021-01-22,42.59,76.76,42.32,65.01,197157906,354
2021-01-21,39.23,44.75,37.0,43.03,57079754,353
2021-01-20,37.37,41.19,36.06,39.12,33471789,352
2021-01-19,41.55,45.52,36.64,39.36,74721922,351
2021-01-15,38.49,40.75,34.01,35.5,46866359,347
2021-01-14,38.09,43.06,33.05,39.91,93717406,346
2021-01-13,20.42,38.65,20.03,31.4,144501703,345
2021-01-12,19.96,20.4,19.32,19.95,7060665,344
2021-01-11,19.41,20.65,19.01,19.94,14927610,343
2021-01-08,18.18,18.3,17.08,17.69,6481960,340
2021-01-07,18.47,19.45,18.02,18.08,6129276,339
2021-01-06,17.34,18.98,17.33,18.36,6056248,338
2021-01-05,17.35,18.08,17.23,17.37,4961457,337
2021-01-04,19.0,19.1,17.15,17.25,10022470,336
2020-12-31,19.25,19.8,18.8,18.84,6922652,332
2020-12-30,19.38,20.0,18.85,19.26,5934391,331
2020-12-29,20.82,21.07,18.56,19.38,9241441,330
2020-12-28,21.31,21.97,20.35,20.99,8965858,329
2020-12-24,21.01,21.48,19.95,20.15,6262174,325
2020-12-23,20.17,22.35,19.13,20.57,25830260,324
2020-12-22,16.22,20.04,16.15,19.46,30687721,323
2020-12-21,15.81,16.35,15.28,15.53,9876128,322
2020-12-18,15.78,16.3,15.18,15.63,16618779,319
2020-12-17,13.96,14.98,13.59,14.83,8194902,318
2020-12-16,13.96,14.31,13.58,13.85,5865123,317
2020-12-15,12.78,14.02,12.48,13.85,8192856,316
2020-12-14,13.34,13.43,12.14,12.72,10007090,315
2020-12-11,13.91,14.0,13.02,13.31,7496868,312
2020-12-10,13.12,14.41,13.05,14.12,7558922,311
2020-12-09,13.92,14.73,13.23,13.66,24357939,310
2020-12-08,16.37,17.21,15.93,16.94,16120160,309
2020-12-07,17.0,17.5,16.22,16.35,7386258,308
2020-12-04,16.3,17.29,16.26,16.9,8972672,305
2020-12-03,16.48,16.64,15.87,16.12,6294965,304
2020-12-02,15.7,16.68,15.38,16.58,7883380,303
2020-12-01,17.11,17.4,15.76,15.8,12666030,302
2020-11-30,18.17,19.42,16.56,16.56,31983500,301
2020-11-27,15.29,16.74,14.88,16.08,12504200,298
2020-11-25,13.6,15.25,13.42,14.75,8860092,296
2020-11-24,14.23,14.26,13.3,13.67,7186710,295
2020-11-23,12.9,14.12,12.67,13.9,9607973,294
2020-11-20,12.55,13.46,12.54,12.71,8402347,291
2020-11-19,11.6,12.79,11.45,12.46,11787610,290
2020-11-18,11.8,12.04,11.56,11.57,3169222,289
2020-11-17,11.65,11.92,11.23,11.63,6678176,288
2020-11-16,11.16,12.66,10.72,12.06,9774824,287
2020-11-13,11.36,11.55,11.0,11.01,3546171,284
2020-11-12,11.74,11.87,10.97,11.13,4355892,283
2020-11-11,11.5,11.95,11.21,11.75,4882569,282
2020-11-10,11.5,11.66,10.83,11.1,3825963,281
2020-11-09,12.76,12.93,11.25,11.49,6244865,280
2020-11-06,11.52,12.17,11.32,11.86,5518243,277
2020-11-05,11.27,11.84,11.06,11.45,4705245,276
2020-11-04,11.76,11.77,10.61,10.91,5807871,275
2020-11-03,10.75,11.86,10.63,11.57,7454472,274
2020-11-02,10.82,11.09,10.5,10.75,5227011,273
2020-10-30,11.64,11.64,10.36,10.47,11562370,270
2020-10-29,11.88,12.25,11.68,11.73,4165843,269
2020-10-28,12.27,13.05,11.78,11.82,6388580,268
2020-10-27,13.71,13.71,12.36,12.69,7231006,267
2020-10-26,14.93,15.45,13.26,13.45,13376270,266
2020-10-23,15.05,15.38,14.55,15.0,6507324,263
2020-10-22,14.2,15.87,14.19,14.91,16212230,262
2020-10-21,13.9,14.42,13.8,14.1,5361928,261
2020-10-20,14.03,14.14,13.67,13.86,6603951,260
2020-10-19,13.44,14.5,13.38,13.91,13169070,259
2020-10-16,13.77,13.9,13.08,13.31,11651580,256
2020-10-15,11.99,15.1,11.99,13.83,39894820,255
2020-10-14,12.67,12.68,12.05,12.25,10776760,254
2020-10-13,11.73,12.42,11.65,11.88,10179710,253
2020-10-12,11.66,12.77,11.4,11.8,23655699,252
2020-10-09,12.83,14.8,11.9,12.02,77152781,249
2020-10-08,9.54,13.64,9.19,13.49,76453562,248
2020-10-07,9.23,9.56,9.17,9.36,3308644,247
2020-10-06,9.56,9.84,9.1,9.13,4535421,246
2020-10-05,9.44,9.59,9.25,9.46,2804969,245
2020-10-02,9.38,9.78,9.3,9.39,4340484,242
2020-10-01,10.09,10.25,9.69,9.77,4554055,241
2020-09-30,10.25,10.76,10.06,10.2,6079033,240
2020-09-29,10.0,10.65,9.93,10.35,5244339,239
2020-09-28,10.16,10.26,9.55,10.09,6764323,238
2020-09-25,9.19,10.18,9.1,10.02,7515157,235
2020-09-24,9.71,9.81,9.01,9.14,7938838,234
2020-09-23,10.6,10.86,9.92,10.04,10651150,233
2020-09-22,10.45,11.17,9.9,10.56,34752480,232
2020-09-21,9.35,9.6,8.38,8.75,7639806,231
2020-09-18,9.2,9.77,8.91,9.47,17407510,228
2020-09-17,8.57,9.77,8.41,9.2,17026721,227
2020-09-16,7.03,9.04,7.03,8.68,19346510,226
2020-09-15,6.86,7.26,6.69,7.09,5743489,225
2020-09-14,6.8,7.0,6.43,6.91,10118970,224
2020-09-11,6.26,6.33,5.87,6.09,6061190,221
2020-09-10,6.65,6.95,6.19,6.23,15558280,220
2020-09-09,7.96,7.99,7.31,7.35,9068082,219
2020-09-08,7.55,8.28,7.48,7.7,9816620,218
2020-09-04,7.78,7.92,7.17,7.65,7661994,214
2020-09-03,7.88,8.45,7.24,7.82,14344500,213
2020-09-02,7.8,8.05,7.11,7.71,13011110,212
2020-09-01,7.3,7.82,6.77,7.65,23211051,211
2020-08-31,5.77,7.15,5.69,6.68,37976000,210
2020-08-28,5.3,5.57,5.22,5.39,4236926,207
2020-08-27,5.11,5.38,5.02,5.25,3384658,206
2020-08-26,4.97,5.22,4.92,5.11,2779664,205
2020-08-25,4.88,5.25,4.88,4.98,2998678,204
2020-08-24,5.1,5.13,4.56,4.87,4585366,203
2020-08-21,4.6,5.6,4.6,5.03,10642590,200
2020-08-20,4.62,4.68,4.51,4.61,2441184,199
2020-08-19,4.8,4.84,4.64,4.72,2612583,198
2020-08-18,4.61,4.87,4.44,4.81,3834840,197
2020-08-17,4.78,4.78,4.56,4.63,2370970,196
2020-08-14,4.6,4.83,4.55,4.75,3474692,193
2020-08-13,4.52,4.71,4.5,4.64,2128313,192
2020-08-12,4.4,4.63,4.36,4.52,3057594,191
2020-08-11,4.43,4.57,4.34,4.35,3139105,190
2020-08-10,4.2,4.57,4.18,4.33,4561772,189
2020-08-07,4.39,4.4,4.06,4.16,3341099,186
2020-08-06,4.6,4.66,4.38,4.43,1901224,185
2020-08-05,4.5,4.76,4.25,4.63,4925697,184
2020-08-04,4.13,4.74,4.13,4.43,10361360,183
2020-08-03,4.03,4.25,4.0,4.15,2518010,182
2020-07-31,4.06,4.16,3.99,4.01,1879553,179
2020-07-30,4.0,4.23,3.97,4.1,2398485,178
2020-07-29,3.94,4.18,3.92,4.06,2879626,177
2020-07-28,3.96,4.05,3.92,3.94,4555392,176
2020-07-27,4.02,4.12,3.95,4.01,2472696,175
2020-07-24,4.06,4.23,4.01,4.03,2216295,172
